ACC_X_AVG,ACC_Y_AVG,ACC_Z_AVG,GYR_X_AVG,GYR_Y_AVG,GYR_Z_AVG,MAG_X_AVG,MAG_Y_AVG,MAG_Z_AVG,ACC_X_Range,ACC_Y_Range,ACC_Z_Range,GYR_X_Range,GYR_Y_Range,GYR_Z_Range,MAG_X_Range,MAG_Y_Range,MAG_Z_Range
-13.4,90.28,1016.7,-1.218,-0.64,0.342,-1.218,-0.64,0.342,349,388,1601,114.2,52.5,30.5,114.2,52.5,30.5
-5.34,67.56,1013.54,2.636,0.986,0.634,2.636,0.986,0.634,545,397,1792,94.5,88.2,25.8,94.5,88.2,25.8
-33.4,76.8,1014.94,0.176,-1.088,-0.138,0.176,-1.088,-0.138,550,553,1755,137.6,75.2,51.1,137.6,75.2,51.1
-53.52,82.02,1018.92,2.678,0.968,0.078,2.678,0.968,0.078,482,429,1511,106.8,75.8,37.1,106.8,75.8,37.1
-69.14,299.78,918.1,32.162,-10.158,-15.04,32.162,-10.158,-15.04,747,1253,1423,242.8,108.8,161,242.8,108.8,161
-467.3421053,883.4736842,251,6.086842105,3.363157895,0.431578947,6.086842105,3.363157895,0.431578947,459,318,331,117.5,48.8,61.9,117.5,48.8,61.9
-25.68,27.48,1020.64,-0.402,-0.286,1.426,-0.402,-0.286,1.426,424,379,1429,99.6,66.7,31.3,99.6,66.7,31.3
-13.9,84.56,1021.08,2.646,0.616,-0.602,2.646,0.616,-0.602,379,409,1366,104,75.1,54.9,104,75.1,54.9
-15.32,101.22,1021.7,3.946,-1.876,2.402,3.946,-1.876,2.402,425,461,1473,144.8,65.1,49.8,144.8,65.1,49.8
4.44,115.8,1009.7,-0.552,-0.054,-2.306,-0.552,-0.054,-2.306,454,606,1519,135.8,64.7,43.7,135.8,64.7,43.7
-256.96,509.2,703.56,42.004,-6.086,-13.756,42.004,-6.086,-13.756,1013,1441,1862,206.3,189.8,316.8,206.3,189.8,316.8
-109.4594595,890.9189189,-222.4054054,16.38648649,40.82162162,9.478378378,16.38648649,40.82162162,9.478378378,1056,449,619,186.8,113.4,79,186.8,113.4,79
-134.9416667,49.325,846.9333333,3.275,33.7,-2.333333333,158.0916667,-39.13333333,-1501.15,1341,857,2532,5010,4045,1427,490,547,328
-96,67.64166667,895.125,33.1,-24.275,0.966666667,170.3083333,-27.21666667,-1496.3,1509,928,2451,5321,4284,1324,523,583,409
-53.15833333,91.375,793.4416667,31.9,-31.09166667,0.033333333,119.575,-78.51666667,-1496.275,1514,912,2587,5749,3653,1925,484,535,454
-59.55,119.8,890.525,-19.15,-7.233333333,10.875,153.0416667,-49.25833333,-1493.633333,1534,861,2431,5335,3528,1832,481,534,402
-27.65833333,111.0083333,855.0666667,117.0916667,-78.25833333,-0.175,143.95,-95.125,-1498.058333,1309,810,2560,5109,3709,1552,443,488,471
-1.091666667,80.88333333,874.7416667,-97.98333333,53.48333333,-43.35,165.4916667,-110.3083333,-1508.1,1305,864,2592,5857,3481,1517,498,484,389
